Sex,Age,Fare,Pclass1,Pclass2,Pclass3,Embarked1,Embarked2,Embarked3,Master,Miss,Mr,Mrs,Officer,Royalty,Large_Family,Single,Small_Family,Survived
1,-0.5816283106401147,-0.5035948611437696,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
0,0.6586519408900796,0.734502563508859,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1
0,-0.2715582477575661,-0.4905435931060373,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1
0,0.4260993937281682,0.38292460482664,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1
1,0.4260993937281682,-0.48812669161756833,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
1,-0.11652321631629182,-0.48023212459563336,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
1,1.898932192420274,0.35899728009079734,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
1,-2.1319786250528576,-0.23628555651910413,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
0,-0.19404073203692898,-0.428510432742398,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1
0,-1.201768436405212,-0.06234985723935256,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1
0,-1.9769435936115833,-0.32087710861551727,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1
0,2.2090022553028223,-0.13042527132416426,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1
1,-0.736663342081389,-0.48812669161756833,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
1,0.7361694566107168,-0.03906639506003812,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
0,-1.201768436405212,-0.49191252610910613,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
0,1.9764497081409111,-0.33441175695094333,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1
1,-2.1319786250528576,-0.08063710066170397,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0
1,-0.11652321631629182,-0.39241739267419806,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1
0,0.1160293308456196,-0.2957413331354402,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
0,-0.11652321631629182,-0.5040782414414634,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1
1,0.4260993937281682,-0.14105963787342762,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
1,0.34858187800753104,-0.39241739267419806,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1
0,-1.1242509206845748,-0.4885288640252496,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1
1,-0.11652321631629182,0.0426248752502123,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1
0,-1.6668735307290348,-0.23628555651910413,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
